INFO 2021-03-11 22:40:59,985 autoreload 25 140077558443336 Watching for file changes with StatReloader
DEBUG 2021-03-11 22:40:59,991 autoreload 25 140077558443336 Waiting for apps ready_event.
DEBUG 2021-03-11 22:41:00,037 autoreload 25 140077558443336 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2021-03-11 22:41:00,046 autoreload 25 140077558443336 Watching dir /usr/src/app/locale with glob **/*.mo.
DEBUG 2021-03-11 22:41:00,049 autoreload 25 140077558443336 Watching dir /usr/src/app/students/locale with glob **/*.mo.
DEBUG 2021-03-11 22:41:00,053 autoreload 25 140077558443336 Watching dir /usr/local/lib/python3.8/site-packages/django/contrib/admin/locale with glob **/*.mo.
DEBUG 2021-03-11 22:41:00,054 autoreload 25 140077558443336 Watching dir /usr/local/lib/python3.8/site-packages/django/contrib/auth/locale with glob **/*.mo.
DEBUG 2021-03-11 22:41:00,056 autoreload 25 140077558443336 Watching dir /usr/local/lib/python3.8/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
DEBUG 2021-03-11 22:41:00,057 autoreload 25 140077558443336 Watching dir /usr/local/lib/python3.8/site-packages/django/contrib/sessions/locale with glob **/*.mo.
DEBUG 2021-03-11 22:41:00,058 autoreload 25 140077558443336 Watching dir /usr/local/lib/python3.8/site-packages/django/contrib/messages/locale with glob **/*.mo.
DEBUG 2021-03-11 22:41:00,060 autoreload 25 140077558443336 Watching dir /usr/local/lib/python3.8/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
DEBUG 2021-03-11 22:41:00,140 utils 25 140077524605728 (0.003) 
            SELECT c.relname,
            CASE WHEN c.relispartition THEN 'p' WHEN c.relkind IN ('m', 'v') THEN 'v' ELSE 't' END
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None
DEBUG 2021-03-11 22:41:00,146 utils 25 140077524605728 (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=()
DEBUG 2021-03-11 22:41:00,188 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/contrib/admin/templatetags/base.py first seen with mtime 1615495142.5744448
DEBUG 2021-03-11 22:41:00,190 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/sqlparse/tokens.py first seen with mtime 1615495142.002445
DEBUG 2021-03-11 22:41:00,192 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/pytz/tzinfo.py first seen with mtime 1615495142.059445
DEBUG 2021-03-11 22:41:00,194 autoreload 25 140077558443336 File /usr/local/lib/python3.8/weakref.py first seen with mtime 1591213836.0
DEBUG 2021-03-11 22:41:00,195 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/db/backends/base/creation.py first seen with mtime 1615495143.1094449
DEBUG 2021-03-11 22:41:00,196 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/http/__init__.py first seen with mtime 1615495143.151445
DEBUG 2021-03-11 22:41:00,197 autoreload 25 140077558443336 File /usr/local/lib/python3.8/posixpath.py first seen with mtime 1591213836.0
DEBUG 2021-03-11 22:41:00,198 autoreload 25 140077558443336 File /usr/local/lib/python3.8/importlib/machinery.py first seen with mtime 1591213836.0
DEBUG 2021-03-11 22:41:00,200 autoreload 25 140077558443336 File /usr/local/lib/python3.8/keyword.py first seen with mtime 1591213835.0
DEBUG 2021-03-11 22:41:00,201 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/templatetags/l10n.py first seen with mtime 1615495143.161445
DEBUG 2021-03-11 22:41:00,202 autoreload 25 140077558443336 File /usr/local/lib/python3.8/ipaddress.py first seen with mtime 1591213835.0
DEBUG 2021-03-11 22:41:00,203 autoreload 25 140077558443336 File /usr/local/lib/python3.8/cgi.py first seen with mtime 1591213835.0
DEBUG 2021-03-11 22:41:00,204 autoreload 25 140077558443336 File /usr/local/lib/python3.8/mimetypes.py first seen with mtime 1591213835.0
DEBUG 2021-03-11 22:41:00,205 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/db/migrations/state.py first seen with mtime 1615495143.1234448
DEBUG 2021-03-11 22:41:00,206 autoreload 25 140077558443336 File /usr/local/lib/python3.8/email/mime/__init__.py first seen with mtime 1591213837.0
DEBUG 2021-03-11 22:41:00,207 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/core/checks/database.py first seen with mtime 1615495143.0904448
DEBUG 2021-03-11 22:41:00,208 autoreload 25 140077558443336 File /usr/local/lib/python3.8/_collections_abc.py first seen with mtime 1591213835.0
DEBUG 2021-03-11 22:41:00,209 autoreload 25 140077558443336 File /usr/local/lib/python3.8/asyncio/queues.py first seen with mtime 1591213837.0
DEBUG 2021-03-11 22:41:00,209 autoreload 25 140077558443336 File /usr/local/lib/python3.8/uu.py first seen with mtime 1591213836.0
DEBUG 2021-03-11 22:41:00,210 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1615495143.1324449
DEBUG 2021-03-11 22:41:00,211 autoreload 25 140077558443336 File /usr/local/lib/python3.8/asyncio/exceptions.py first seen with mtime 1591213837.0
DEBUG 2021-03-11 22:41:00,212 autoreload 25 140077558443336 File /usr/local/lib/python3.8/asyncio/selector_events.py first seen with mtime 1591213837.0
DEBUG 2021-03-11 22:41:00,213 autoreload 25 140077558443336 File /usr/src/app/students/urls.py first seen with mtime 1615493592.518411
DEBUG 2021-03-11 22:41:00,214 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/utils/numberformat.py first seen with mtime 1615495143.1734447
DEBUG 2021-03-11 22:41:00,215 autoreload 25 140077558443336 File /usr/local/lib/python3.8/asyncio/format_helpers.py first seen with mtime 1591213837.0
DEBUG 2021-03-11 22:41:00,215 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/core/exceptions.py first seen with mtime 1615495143.0874448
DEBUG 2021-03-11 22:41:00,216 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1615495143.1244447
DEBUG 2021-03-11 22:41:00,217 autoreload 25 140077558443336 File /usr/local/lib/python3.8/logging/__init__.py first seen with mtime 1591213837.0
DEBUG 2021-03-11 22:41:00,218 autoreload 25 140077558443336 File /usr/local/lib/python3.8/asyncio/staggered.py first seen with mtime 1591213837.0
DEBUG 2021-03-11 22:41:00,218 autoreload 25 140077558443336 File /usr/local/lib/python3.8/lib-dynload/termios.cpython-38-x86_64-linux-gnu.so first seen with mtime 1591213808.0
DEBUG 2021-03-11 22:41:00,219 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/utils/hashable.py first seen with mtime 1615495143.171445
DEBUG 2021-03-11 22:41:00,220 autoreload 25 140077558443336 File /usr/local/lib/python3.8/random.py first seen with mtime 1591213836.0
DEBUG 2021-03-11 22:41:00,221 autoreload 25 140077558443336 File /usr/local/lib/python3.8/token.py first seen with mtime 1591213836.0
DEBUG 2021-03-11 22:41:00,222 autoreload 25 140077558443336 File /usr/local/lib/python3.8/email/utils.py first seen with mtime 1591213837.0
DEBUG 2021-03-11 22:41:00,223 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/utils/encoding.py first seen with mtime 1615495143.1704447
DEBUG 2021-03-11 22:41:00,223 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/middleware/security.py first seen with mtime 1615495143.154445
DEBUG 2021-03-11 22:41:00,224 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/contrib/admin/__init__.py first seen with mtime 1615495142.423445
DEBUG 2021-03-11 22:41:00,225 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/core/serializers/base.py first seen with mtime 1615495143.105445
DEBUG 2021-03-11 22:41:00,226 autoreload 25 140077558443336 File /usr/local/lib/python3.8/wsgiref/handlers.py first seen with mtime 1591213837.0
DEBUG 2021-03-11 22:41:00,227 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/db/models/expressions.py first seen with mtime 1615495143.1274447
DEBUG 2021-03-11 22:41:00,228 autoreload 25 140077558443336 File /usr/local/lib/python3.8/lib-dynload/fcntl.cpython-38-x86_64-linux-gnu.so first seen with mtime 1591213794.0
DEBUG 2021-03-11 22:41:00,228 autoreload 25 140077558443336 File /usr/local/lib/python3.8/asyncio/coroutines.py first seen with mtime 1591213837.0
DEBUG 2021-03-11 22:41:00,229 autoreload 25 140077558443336 File /usr/local/lib/python3.8/difflib.py first seen with mtime 1591213835.0
DEBUG 2021-03-11 22:41:00,230 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/db/models/options.py first seen with mtime 1615495143.1294448
DEBUG 2021-03-11 22:41:00,231 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site.py first seen with mtime 1591213836.0
DEBUG 2021-03-11 22:41:00,232 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/views/__init__.py first seen with mtime 1615495143.177445
DEBUG 2021-03-11 22:41:00,233 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/template/defaulttags.py first seen with mtime 1615495143.1564448
DEBUG 2021-03-11 22:41:00,234 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/core/mail/utils.py first seen with mtime 1615495143.0974448
DEBUG 2021-03-11 22:41:00,201 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/db/backends/signals.py first seen with mtime 1615495143.108445
DEBUG 2021-03-11 22:41:00,202 autoreload 25 140077558443336 File /usr/local/lib/python3.8/email/message.py first seen with mtime 1591213837.0
DEBUG 2021-03-11 22:41:00,203 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/sqlparse/filters/reindent.py first seen with mtime 1615495142.0044448
DEBUG 2021-03-11 22:41:00,204 autoreload 25 140077558443336 File /usr/local/lib/python3.8/site-packages/django/db/backends/base/base.py first seen with mtime 1615495143.1094449
